,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_max_vmap,param_n_input_copies,param_n_layers,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,9.920499420166015,5.638627129694525,0.2464148998260498,0.06281051356090425,32,0.001,1,1,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 1}",0.4791666666666667,0.5416666666666666,0.4791666666666667,0.4791666666666667,0.6458333333333334,0.525,0.0650854139658888,24,0.541958041958042,0.5087412587412588,0.4747826086956521,0.46434782608695646,0.6104347826086957,0.5200529036181211,0.052780920246806175,23
1,15.494186496734619,2.252500220633847,0.49770097732543944,0.010344336941255229,32,0.001,1,1,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 5}",0.5208333333333334,0.3958333333333333,0.5625,0.6875,0.5833333333333334,0.55,0.09464847243000457,15,0.520979020979021,0.3828671328671328,0.56,0.7234782608695652,0.6069565217391304,0.5588561872909699,0.1111955076391794,20
2,26.992785215377808,2.380605558391171,0.958544921875,0.02485392103281423,32,0.001,1,1,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 10}",0.5416666666666666,0.5208333333333334,0.5208333333333334,0.75,0.5833333333333334,0.5833333333333334,0.08640183897219883,6,0.6013986013986015,0.5244755244755244,0.5478260869565217,0.7947826086956522,0.5704347826086956,0.607783520826999,0.0968911455590703,9
3,18.73099970817566,2.192438136872625,0.2530236721038818,0.02166955470208578,32,0.001,1,2,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 2, 'n_layers': 1}",0.5416666666666666,0.5625,0.6041666666666666,0.5625,0.625,0.5791666666666666,0.03061862178478973,8,0.6398601398601398,0.6643356643356644,0.6660869565217391,0.6452173913043477,0.6956521739130435,0.6622304651869869,0.019627486549250735,5
4,40.61201400756836,1.8188373615370905,1.070880651473999,0.006574691809734953,32,0.001,1,2,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 2, 'n_layers': 5}",0.4791666666666667,0.5625,0.5208333333333334,0.4791666666666667,0.4791666666666667,0.5041666666666667,0.03333333333333333,27,0.4947552447552448,0.44930069930069927,0.5791304347826087,0.4660869565217391,0.5704347826086956,0.5119416235937975,0.05339980057392184,25
5,70.9289387702942,1.5175373734068751,2.7673693180084227,0.0699924832673631,32,0.001,1,2,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 2, 'n_layers': 10}",0.5416666666666666,0.4583333333333333,0.5625,0.5833333333333334,0.6041666666666666,0.55,0.050346024889977394,15,0.5541958041958042,0.47202797202797203,0.5826086956521739,0.6852173913043479,0.528695652173913,0.5645491030708423,0.07048376422648613,19
6,27.03261113166809,2.49540470089982,0.41709051132202146,0.008276305898830046,32,0.001,1,3,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 3, 'n_layers': 1}",0.5416666666666666,0.5208333333333334,0.5,0.5208333333333334,0.4791666666666667,0.5125,0.02124591463996993,26,0.472027972027972,0.4405594405594405,0.40695652173913044,0.351304347826087,0.43999999999999995,0.422169656430526,0.04097630626854744,27
7,224.7251081943512,32.75455999482039,2.4919349193572997,0.0489725935280949,32,0.001,1,3,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 3, 'n_layers': 5}",0.6041666666666666,0.4583333333333333,0.5208333333333334,0.5208333333333334,0.5208333333333334,0.5250000000000001,0.04639803635691684,23,0.6293706293706295,0.3828671328671329,0.5617391304347826,0.5339130434782609,0.5721739130434782,0.5360127698388568,0.08263553571919935,21
8,487.6595418930054,86.75883015437594,6.636111640930176,0.20998515852002064,32,0.001,1,3,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 3, 'n_layers': 10}",0.5625,0.5,0.5208333333333334,0.5,0.5208333333333334,0.5208333333333334,0.02282177322938192,25,0.6486013986013985,0.4423076923076923,0.4260869565217391,0.5756521739130435,0.5234782608695652,0.5232252964426877,0.08300761917601306,22
9,5.995630311965942,0.36182262441611157,0.1387094020843506,0.0026820042451471565,32,0.01,1,1,1,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 1}",0.7083333333333334,0.6458333333333334,0.6875,0.6041666666666666,0.625,0.6541666666666667,0.03864007706456545,2,0.6398601398601398,0.7465034965034965,0.6956521739130436,0.7008695652173913,0.568695652173913,0.6703162055335967,0.06104790117351793,4
