,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_max_vmap,param_n_input_copies,param_n_layers,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0,7.821825170516968,0.287034373738426,0.23931212425231935,0.008764780552004999,32,0.001,1,1,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 1}",0.5416666666666666,0.5,0.5208333333333334,0.5833333333333334,0.5416666666666666,0.5375,0.02763853991962834,8,0.53125,0.5069444444444444,0.47652173913043483,0.6469565217391304,0.56,0.544334541062802,0.05821422191787586,21
1,17.49352045059204,1.4051801030009965,0.5682320594787598,0.007467424656310536,32,0.001,1,1,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 5}",0.5625,0.5,0.6041666666666666,0.3958333333333333,0.5416666666666666,0.5208333333333333,0.07095577652469333,19,0.6163194444444445,0.578125,0.551304347826087,0.391304347826087,0.5495652173913044,0.5373236714975846,0.07690518603187413,22
2,30.839376401901244,0.10335342493902276,1.1146818161010743,0.008981001365515188,32,0.001,1,1,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 10}",0.4791666666666667,0.5416666666666666,0.5625,0.3333333333333333,0.4791666666666667,0.47916666666666663,0.08014743359029727,27,0.49479166666666663,0.5763888888888888,0.6504347826086957,0.3721739130434783,0.471304347826087,0.5130187198067633,0.09466628389620355,26
3,20.511178541183472,1.7202997441308792,0.2558587551116943,0.026539665461132043,32,0.001,1,2,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 2, 'n_layers': 1}",0.4583333333333333,0.375,0.4166666666666667,0.625,0.5208333333333334,0.4791666666666667,0.08740073734751262,26,0.4322916666666667,0.3333333333333333,0.3652173913043478,0.6017391304347827,0.4469565217391305,0.4359076086956522,0.09290192239071236,27
4,40.11697278022766,0.6220994706117707,1.3991527557373047,0.14094780341302193,32,0.001,1,2,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 2, 'n_layers': 5}",0.5833333333333334,0.5,0.6041666666666666,0.375,0.5416666666666666,0.5208333333333333,0.08122328620674137,19,0.5694444444444444,0.6961805555555556,0.6260869565217392,0.3826086956521739,0.5373913043478261,0.5623423913043478,0.10483627335688012,18
5,88.7959372997284,14.682293062037871,3.280174493789673,0.32090444548371994,32,0.001,1,2,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 2, 'n_layers': 10}",0.5833333333333334,0.5833333333333334,0.5,0.375,0.4583333333333333,0.5000000000000001,0.0790569415042095,23,0.5555555555555556,0.5746527777777777,0.568695652173913,0.3895652173913044,0.528695652173913,0.5234329710144927,0.0687783550563834,24
6,641.6080668926239,37.318173724482826,0.7946896076202392,0.023302261041118794,32,0.001,1,3,1,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 3, 'n_layers': 1}",0.5416666666666666,0.5833333333333334,0.5833333333333334,0.375,0.4583333333333333,0.5083333333333334,0.08079466429027217,21,0.5729166666666667,0.689236111111111,0.6504347826086957,0.3965217391304348,0.5478260869565217,0.5713870772946861,0.10126428875722703,9
7,2053.350353002548,641.6899395623896,4.226178407669067,1.0444054340667748,32,0.001,1,3,5,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 3, 'n_layers': 5}",0.6041666666666666,0.6041666666666666,0.5208333333333334,0.3958333333333333,0.5208333333333334,0.5291666666666667,0.07637626158259732,12,0.5850694444444444,0.5902777777777778,0.5530434782608695,0.39304347826086955,0.5547826086956522,0.5352433574879226,0.07270606391150332,23
8,4173.978646945953,903.8620327635906,9.251098728179931,1.5410266952184637,32,0.001,1,3,10,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 1, 'n_input_copies': 3, 'n_layers': 10}",0.5,0.6041666666666666,0.6458333333333334,0.375,0.5208333333333334,0.5291666666666667,0.09372684899334993,12,0.5034722222222223,0.5590277777777778,0.5565217391304348,0.38086956521739135,0.5860869565217391,0.517195652173913,0.07323334510605166,25
9,10.01956672668457,3.8962760224424375,0.19075632095336914,0.015416756446594295,32,0.01,1,1,1,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 1, 'n_input_copies': 1, 'n_layers': 1}",0.5833333333333334,0.4166666666666667,0.5416666666666666,0.5,0.4375,0.4958333333333333,0.06236095644623236,24,0.5868055555555556,0.578125,0.653913043478261,0.4608695652173913,0.5356521739130435,0.5630730676328503,0.06362256546377404,17
